,Produk,produkindo,produkmui,produsen,sertif,nilai
487,Dua Kelinci Kacang Sangrai|Dua kelinci kacang sangrai|Pt. dua kelinci|00100017571001|0.8,Dua Kelinci Kacang Sangrai,Dua kelinci kacang sangrai,Pt. dua kelinci,00100017571001,0.8
483,Dua Kelinci Kacang Polong Polongmas Ayam Bawang|Dua kelinci polongmas kacang polong rasa ayam bawang|Pt. dua kelinci|00100017571001|0.7777777777777778,Dua Kelinci Kacang Polong Polongmas Ayam Bawang,Dua kelinci polongmas kacang polong rasa ayam bawang,Pt. dua kelinci,00100017571001,0.7777777777777778
394,Dua Kelinci Jagung Presto Bawang Putih|Dua kelinci jagung presto rasa bawang putih|Pt. dua kelinci|00100017571001|0.75,Dua Kelinci Jagung Presto Bawang Putih,Dua kelinci jagung presto rasa bawang putih,Pt. dua kelinci,00100017571001,0.75
548,Frisian Flag Susu Bubuk Full Cream|Frisian flag susu bubuk full cream|Pt. frisian flag indonesia|00040040520606|0.75,Frisian Flag Susu Bubuk Full Cream,Frisian flag susu bubuk full cream,Pt. frisian flag indonesia,00040040520606,0.75
395,Dua Kelinci Jagung Presto Pedas Manis|Dua kelinci jagung presto rasa pedas manis|Pt. dua kelinci|00100017571001|0.75,Dua Kelinci Jagung Presto Pedas Manis,Dua kelinci jagung presto rasa pedas manis,Pt. dua kelinci,00100017571001,0.75
91,Frisian Flag Krimer Kental Manis Omela|Omela krimer kental manis|Pt. frisian flag indonesia|00040040520606|0.75,Frisian Flag Krimer Kental Manis Omela,Omela krimer kental manis,Pt. frisian flag indonesia,00040040520606,0.75
200,Good Family Biscuit Assorted|Good family biscuit assorted|Pt. inkubisc|00100077860716|0.6666666666666666,Good Family Biscuit Assorted,Good family biscuit assorted,Pt. inkubisc,00100077860716,0.6666666666666666
661,Van Houten Cocoa Powder|Van houten cocoa powder|Pt. ceres|00110040600606|0.6666666666666666,Van Houten Cocoa Powder,Van houten cocoa powder,Pt. ceres,00110040600606,0.6666666666666666
1114,"Ottogi Honey Citron Tea|Ottogi honey citron tea|Ottogi co., ltd|00120112161220|0.6666666666666666",Ottogi Honey Citron Tea,Ottogi honey citron tea,"Ottogi co., ltd",00120112161220,0.6666666666666666
27,Delfi Hot Cocoa Indulgence|Delfi hot cocoa indulgence|Pt. ceres|00120062600912|0.6666666666666666,Delfi Hot Cocoa Indulgence,Delfi hot cocoa indulgence,Pt. ceres,00120062600912,0.6666666666666666
31,Cadbury Hot Chocolate Drink 3 In 1|Cadbury hot chocolate drink 3 in 1|Cadbury confectionery malaysia sdn bhd|00120068190214|0.6363636363636364,Cadbury Hot Chocolate Drink 3 In 1,Cadbury hot chocolate drink 3 in 1,Cadbury confectionery malaysia sdn bhd,00120068190214,0.6363636363636364
632,Ceres Baking Heritage Chocolate Dark Choco Chip|Ceres baking heritage dark chocolate|Pt. ceres|00110040600606|0.625,Ceres Baking Heritage Chocolate Dark Choco Chip,Ceres baking heritage dark chocolate,Pt. ceres,00110040600606,0.625
653,Frisian Flag Susu Kental Manis Coklat|Frisian flag susu kental manis|Pt. frisian flag indonesia|00040040520606|0.625,Frisian Flag Susu Kental Manis Coklat,Frisian flag susu kental manis,Pt. frisian flag indonesia,00040040520606,0.625
476,Dua Kelinci Kacang Sukro Oven Bawang|Dua kelinci kacang oven rasa bawang|Pt. dua kelinci|00100017571001|0.625,Dua Kelinci Kacang Sukro Oven Bawang,Dua kelinci kacang oven rasa bawang,Pt. dua kelinci,00100017571001,0.625
