code,name,produkmui,manufacture,cert_code,nilai,label,ingredients,ingredients_lama,ing0,ing1,ing2,ing3,ing4,ing5,ing6,ing7,ing8,ing9,ing10,ing11,ing12,ing13,ing14,ing15,ing16,ing17,ing18,ing19,ing20,ing21,ing22,ing23,ing24,ing25,ing26,ing27,ing28,ing29,ing30,ing31,ing32,cert_bodies,expired,cert_bodyname,homepage,location,status
0,Dua Kelinci Kacang Sangrai,Dua kelinci kacang sangrai,Pt. dua kelinci,00100017571001,"0,8",1,"kacang tanah,minyak nabati,garam,penguat rasa,gula","kacang tanah, minyak nabati, garam, penguat rasa, gula.",kacang tanah, minyak nabati, garam, penguat rasa, gula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
1,Dua Kelinci Kacang Polong Polongmas Ayam Bawang,Dua kelinci polongmas kacang polong rasa ayam bawang,Pt. dua kelinci,00100017571001,"0,7777777778",1,"kacang polong,minyak sawit,bumbu ayam bawang,perisa sintetik daging ayam,kecap bubuk,ekstrak daging ayam,seledri,protein nabati terhidrolisis,dinatrium guanilat,dinatrium Inosinat,aspartam,asesulfam-k,pewarna makanan alami karamel,whey bubuk,natrium bikarbonat,gula,mononatrium glutamat,daun jeruk purut","kacang polong (.%), minyak sawit (mengandung antioksidan tbhq (e)), bumbu ayam bawang mengandung perisa sintetik daging ayam, kecap bubuk, ekstrak daging ayam (.%), seledri, protein nabati terhidrolisis, penguat rasa dinatrium guanilat (e), dinatrium inosinat (e), pemanis buatan aspartam (e), asesulfam-k (e), pewarna makanan alami karamel iii (ec), whey bubuk, pengembang natrium bikarbonat (e(ii)), gula, penguat rasa mononatrium glutamat (e), daun jeruk purut.",kacang polong , minyak sawit mengandung antioksidan tbhq e, bumbu ayam bawang mengandung perisa sintetik daging ayam, kecap bubuk, ekstrak daging ayam , seledri, protein nabati terhidrolisis, penguat rasa dinatrium guanilat e, dinatrium inosinat e, pemanis buatan aspartam e, asesulfamk e, pewarna makanan alami karamel iii ec, whey bubuk, pengembang natrium bikarbonat eii, gula, penguat rasa mononatrium glutamat e, daun jeruk purut,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
2,Dua Kelinci Jagung Presto Bawang Putih,Dua kelinci jagung presto rasa bawang putih,Pt. dua kelinci,00100017571001,"0,75",1,"jagung,minyak sawit,bumbu bawang putih,gula,dinatrium Inosinat,dinatrium guanilat,aspartam,asesulfam-k,protein nabati terhidrolisis,garam,mononatrium glutamat,bawang putih bubuk,bawang bombay bubuk,daun jeruk purut","""jagung (.%), minyak sawit (mengandung antioksidan tbhq (e)), bumbu bawang putih mengandung gula, penguat rasa dinatrium inosinat (e), dinatrium guanilat (e), pemanis buatan aspartam (e), asesulfam-k (e), protein nabati terhidrolisis, garam, penguat rasa mononatrium glutamat (e), bawang putih bubuk (.%), bawang bombay bubuk, daun jeruk purut.",jagung , minyak sawit mengandung antioksidan tbhq e, bumbu bawang putih mengandung gula, penguat rasa dinatrium inosinat e, dinatrium guanilat e, pemanis buatan aspartam e, asesulfamk e, protein nabati terhidrolisis, garam, penguat rasa mononatrium glutamat e, bawang putih bubuk , bawang bombay bubuk, daun jeruk purut,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
3,Frisian Flag Susu Bubuk Full Cream,Frisian flag susu bubuk full cream,Pt. frisian flag indonesia,00040040520606,"0,75",1,"susu bubuk instant full cream,mineral","susu bubuk instant full cream,  mineral.",susu bubuk instant full cream,  mineral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
4,Dua Kelinci Jagung Presto Pedas Manis,Dua kelinci jagung presto rasa pedas manis,Pt. dua kelinci,00100017571001,"0,75",1,"jagung,minyak sawit,gula,dinatrium guanilat,dinatrium Inosinat,dinatrium suksinat,aspartam,asesulfam-k,rempah-rempah cabai,bawang putih,antioksidan tokoferol,udang bubuk,kecap bubuk,gula aren,garam,mononatrium glutamat,antioksidan bha","jagung (.%), minyak sawit (mengandung antioksidan tbhq (e)), gula, bumbu pedas manis mengandung penguat rasa dinatrium  -guanilat (e), dinatrium  -inosinat (e), dinatrium suksinat (e(ii)), pemanis buatan aspartam (e), asesulfam-k (e), rempah-rempah cabai (.%), bawang putih, antioksidan tokoferol (e), udang bubuk, kecap bubuk, gula aren, garam, penguat rasa mononatrium glutamat (e), antioksidan bha (e)",jagung , minyak sawit mengandung antioksidan tbhq e, gula, bumbu pedas manis mengandung penguat rasa dinatrium  guanilat e, dinatrium  inosinat e, dinatrium suksinat eii, pemanis buatan aspartam e, asesulfamk e, rempahrempah cabai , bawang putih, antioksidan tokoferol e, udang bubuk, kecap bubuk, gula aren, garam, penguat rasa mononatrium glutamat e, antioksidan bha e,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
5,Frisian Flag Krimer Kental Manis Omela,Omela krimer kental manis,Pt. frisian flag indonesia,00040040520606,"0,75",1,"gula,air,lemak nabati,bubuk whey,susu bubuk skim,Buttermilk Bubuk,penstabil nabati,vitamin a,antioksidan tokoferol,vitamin b,vitamin d","gula, air, lemak nabati, bubuk whey, susu bubuk skim, butter milk bubuk, penstabil nabati, vitamin a (mengandung antioksidan tokoferol), b dan d",gula, air, lemak nabati, bubuk whey, susu bubuk skim, butter milk bubuk, penstabil nabati, vitamin a mengandung antioksidan tokoferol, b dan d,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
6,Good Family Biscuit Assorted,Good family biscuit assorted,Pt. inkubisc,00100077860716,"0,6666666667",1,"tepung terigu,margarin,gula,mentega,sirup fruktosa,bubuk skim,sirup fruktosa","tepung terigu, margarin, gula, mentega, sirup fruktosa, bubuk skim, sirup fruktosa, pengembang",tepung terigu, margarin, gula, mentega, sirup fruktosa, bubuk skim, sirup fruktosa, pengembang,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
7,Van Houten Cocoa Powder,Van houten cocoa powder,Pt. ceres,00110040600606,"0,6666666667",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
8,Ottogi Honey Citron Tea,Ottogi honey citron tea,"Ottogi co., ltd",00120112161220,"0,6666666667",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
9,Delfi Hot Cocoa Indulgence,Delfi hot cocoa indulgence,Pt. ceres,00120062600912,"0,6666666667",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
