code;name;produkmui;nilai;label;ingredients;ing0;ing1;ing2;ing3;ing4;ing5;ing6;ing7;ing8;ing9;ing10;ing11;ing12;ing13;ing14;ing15;ing16;ing17;ing18;ing19;ing20;ing21;ing22;ing23;ing24;ing25;ing26;ing27;ing28;ing29;ing30;ing31;ing32;cert_bodies;expired;homepage;location
19;Qtela Keripik Singkong Balado;Keripik singkong balado ante;6;0;singkong,minyak kelapa sawit,antioksidan tbhq,amonium bikarbonat,bumbu rasa balado,mononatrium glutamat,ponceau r ci,kuning fcf ci ;singkong; minyak kelapasawit antioksidan tbhq; amonium bikarbonat; bumbu rasa balado penguat rasa mononatrium glutamat; pewarna makanan ponceau r ci ; kuning fcf ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Qtela Keripik Singkong Balado;Keripik singkong balado ante;6;0;singkong,minyak kelapa sawit,antioksidan tbhq,amonium bikarbonat,bumbu rasa balado,penguat rasa mononatrium glutamat,pewarna makanan,ponceau rc ci- kuning fcf ci ;singkong; minyak kelapa sawit antioksidan tbhq; amonium bikarbonat; bumbu rasa balado penguat rasa mononatrium glutamat; pewarna makanan ponceau rc ci kuning fcf ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Qtela Keripik Tempe Original;Keripik tempe original;6;0;tempe,minyak kelapa sawit antioksidan tbhq,tepung beras,tapioka,campuran bumbu,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,Asam Askorbat,tepung telur;tempe; minyak kelapa sawit antioksidan tbhq; tepung beras; tapioka; campuran bumbu penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; antioksidan asam askorbat; tepung telur;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Kusuka Keripik Singkong Balado;Keripik singkong balado ante;6;0;singkong,minyak kelapa sawit,gula,bumbu rasa balado,garam;singkong; minyak kelapa sawit; gula; bumbu rasa balado;,garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Karuhun Keripik Singkong Original;Kita-kita keripik singkong original;6;0;keripik singkong piliihan,daun jeruk,garam,cabai,minyak goreng,rempah rempah,bawang putih;keripik singkong piliihan; daun jeruk; garam; cabai; minyak goreng; rempah; bawang putih;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Kusuka Keripik Singkong Original;Kita-kita keripik singkong original;6;0;singkong,minyak kelapa sawit,gula,garam,bumbu rasa original;singkong; minyak kelapa sawit; gula; garam;,bumbu rasa original;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Indomaret Keripik Pisang Madu;Keripik pisang madu;6;0;pisang,minyak,garam,gula,madu;pisang; minyak; garam; gula; madu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Indomaret Snack Kue Tambang;Kue tambang yosita snack;6;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Qtela Keripik Singkong Original;Kita-kita keripik singkong original;6;0;kentang,minyak kelapa sawit,antioksidan tbhq,amonium bikarbonat;kentang; minyak kelapa sawit antioksidan tbhq; amonium bikarbonat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Qtela Keripik Singkong Original;Kita-kita keripik singkong original;6;0;singkong,minyak kelapa sawit antioksidan tbhq,campuran bumbu,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,Asam Askorbat,minyak kelapa sawit antioksidan tbhq,campuran bumbu,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,Asam Askorbat;singkong; minyak kelapa sawit antioksidan tbhq; campuran bumbu penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; antioksidan asam askorbat; minyak kelapa sawit antioksidan tbhq; campuran bumbu penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; antioksidan asam askorbat; ;;;;;;;;;;;;;;;;;;;;;;;;;
